Ormond,6/32 Walsh St,2,u,562000,S,Gary,01-07-2017,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council
Parkdale,13B Elm Gr,3,t,1000000,S,Obrien,01-07-2017,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council
Parkdale,13 Lawborough Av,3,h,985000,S,Maitland,01-07-2017,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council
Parkdale,44 Melrose St,3,h,820000,S,Thomson,01-07-2017,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council
Pascoe Vale,123 Cumberland Rd,3,h,870000,PI,Ray,01-07-2017,3044,Northern Metropolitan,7485,8.5,Moreland City Council
Pascoe Vale,9 Dorset Rd,3,h,800000,SP,Barry,01-07-2017,3044,Northern Metropolitan,7485,8.5,Moreland City Council
Pascoe Vale,5 Fleming Gr,5,h,1501000,S,Jellis,01-07-2017,3044,Northern Metropolitan,7485,8.5,Moreland City Council
Pascoe Vale,3/424 Gaffney St,3,t,,SN,hockingstuart,01-07-2017,3044,Northern Metropolitan,7485,8.5,Moreland City Council
Pascoe Vale,1 Hazel Gr,3,h,1663000,S,Nelson,01-07-2017,3044,Northern Metropolitan,7485,8.5,Moreland City Council
Pascoe Vale,1 Virginia St,4,h,780000,VB,Brad,01-07-2017,3044,Northern Metropolitan,7485,8.5,Moreland City Council
Point Cook,97 Alamanda Bvd,4,h,,SN,Ray,01-07-2017,3030,Western Metropolitan,15542,14.7,Wyndham City Council
Point Cook,23 Bevan Ct,5,h,660000,S,Reliance,01-07-2017,3030,Western Metropolitan,15542,14.7,Wyndham City Council
Point Cook,24 Derham Dr,4,h,,SP,Reliance,01-07-2017,3030,Western Metropolitan,15542,14.7,Wyndham City Council
Point Cook,14 Glider St,4,h,,W,YPA,01-07-2017,3030,Western Metropolitan,15542,14.7,Wyndham City Council
Point Cook,76 Hargrave Av,4,h,663500,S,hockingstuart,01-07-2017,3030,Western Metropolitan,15542,14.7,Wyndham City Council
Port Melbourne,6/156 Bay St,3,u,1631000,S,Cayzer,01-07-2017,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
Port Melbourne,67 Ross St,3,h,1665000,S,Greg,01-07-2017,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
Port Melbourne,107 Stokes St,4,h,2450000,VB,Lucas,01-07-2017,3207,Southern Metropolitan,8648,3.5,Melbourne City Council
Prahran,11/8 Grandview Gr,1,u,399000,S,Jellis,01-07-2017,3181,Southern Metropolitan,7717,4.6,Stonnington City Council
Prahran,1/648 High St,2,u,1240000,S,Rounds,01-07-2017,3181,Southern Metropolitan,7717,4.6,Stonnington City Council
Preston,2/1 Ambon St,3,h,727500,S,Nelson,01-07-2017,3072,Northern Metropolitan,14577,8.4,Darebin City Council
Preston,4 Benambra St,3,h,,S,Nelson,01-07-2017,3072,Northern Metropolitan,14577,8.4,Darebin City Council
Preston,1/103 Bruce St,3,t,965000,S,hockingstuart,01-07-2017,3072,Northern Metropolitan,14577,8.4,Darebin City Council
Princes Hill,84 Bowen Cr,2,h,2530000,S,Nelson,01-07-2017,3054,Northern Metropolitan,1008,3.5,Yarra City Council
Princes Hill,251 Richardson St,3,h,1930000,S,hockingstuart,01-07-2017,3054,Northern Metropolitan,1008,3.5,Yarra City Council
Reservoir,111 Boldrewood Pde,3,h,840000,SP,RW,01-07-2017,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,57 Crevelli St,2,h,560000,S,Barry,01-07-2017,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,5/1 Griffiths St,1,u,,SP,Ray,01-07-2017,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,7 Inverness St,4,h,900000,SP,Stockdale,01-07-2017,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,22 Locher Av,3,h,680500,S,Ray,01-07-2017,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,78 McMahon Rd,4,h,902000,S,Barry,01-07-2017,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,16 Muriel Ct,3,h,825000,S,RW,01-07-2017,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,16 Oconnor St,3,h,801000,SP,Love,01-07-2017,3073,Northern Metropolitan,21650,12,Darebin City Council
Reservoir,3/76 Southernhay St,2,t,668500,S,Nelson,01-07-2017,3073,Northern Metropolitan,21650,12,Darebin City Council
Richmond,13 Francis St,2,h,1165000,S,Biggin,01-07-2017,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,120/8 Garfield St,1,u,390000,PI,Harcourts,01-07-2017,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,7/129 Hoddle St,2,u,890500,SP,Biggin,01-07-2017,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,5 King St,2,h,,S,Jellis,01-07-2017,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,54 Laity St,3,h,1310000,S,Biggin,01-07-2017,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,202/47 Murphy St,1,u,458000,S,Biggin,01-07-2017,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,2 Sutton Gr,2,h,1442000,S,Biggin,01-07-2017,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Richmond,1 Waltham Pl,4,h,2200000,PI,Biggin,01-07-2017,3121,Northern Metropolitan,14949,2.4,Yarra City Council
Ringwood,36 Kalinda Rd,4,h,,VB,McGrath,01-07-2017,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council
Ringwood,11 Kenwood Cr,3,h,750000,VB,Purplebricks,01-07-2017,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council
Ringwood,2/7 Pearwood St,2,u,,SN,Barry,01-07-2017,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council
Ringwood,2/11 Sussex St,4,t,,SP,Philip,01-07-2017,3134,Eastern Metropolitan,7785,19.9,Maroondah City Council
Ringwood East,3/1 Mines Rd,2,u,560000,S,Barry,01-07-2017,3135,Eastern Metropolitan,4407,21.3,Maroondah City Council
Rockbank,2013 Western Hwy,2,h,340000,SP,YPA,01-07-2017,3335,Western Metropolitan,538,23.8,Melton City Council
Rosanna,5 Coorie Cr,3,h,1101000,S,Miles,01-07-2017,3084,Eastern Metropolitan,3540,8.9,Banyule City Council
Rowville,7 Christian Ct,5,h,,S,Ray,01-07-2017,3178,South-Eastern Metropolitan,11667,23.5,Knox City Council
Rowville,11 Jindalee Cl,5,h,870000,S,Harcourts,01-07-2017,3178,South-Eastern Metropolitan,11667,23.5,Knox City Council
Rowville,19 The Fairway,4,h,,SP,Woodards,01-07-2017,3178,South-Eastern Metropolitan,11667,23.5,Knox City Council
Roxburgh Park,15 Thompson Cr,3,h,420000,S,Raine,01-07-2017,3064,Northern Metropolitan,5833,20.6,Hume City Council
Sandringham,6/76 Bay Rd,2,u,643500,S,hockingstuart,01-07-2017,3191,Southern Metropolitan,4497,15.2,Bayside City Council
Seabrook,19 Spindrift Wy,3,h,625000,S,hockingstuart,01-07-2017,3028,Western Metropolitan,1793,15.5,Hobsons Bay City Council
Seaford,18 Bainbridge Av,3,h,610000,S,Harcourts,01-07-2017,3198,South-Eastern Metropolitan,8077,35.4,Frankston City Council
Seaford,25 Duncan Av,3,h,565000,S,Harcourts,01-07-2017,3198,South-Eastern Metropolitan,8077,35.4,Frankston City Council
Seaford,3/7 East Rd,3,u,572000,S,O'Brien,01-07-2017,3198,South-Eastern Metropolitan,8077,35.4,Frankston City Council
Seaholme,6a Cambridge St,4,t,1090000,S,Greg,01-07-2017,3018,Western Metropolitan,852,11,Hobsons Bay City Council
Seaholme,6/24 Noordenne Av,2,t,455000,SP,hockingstuart,01-07-2017,3018,Western Metropolitan,852,11,Hobsons Bay City Council
Seddon,2A Austin St,2,h,750000,S,Jas,01-07-2017,3011,Western Metropolitan,2417,5.1,Maribyrnong City Council
Seddon,57 Charles St,2,h,850000,VB,Village,01-07-2017,3011,Western Metropolitan,2417,5.1,Maribyrnong City Council
Skye,29 Edinburgh Dr,4,h,640000,VB,hockingstuart,01-07-2017,3977,South-Eastern Metropolitan,2756,34.7,Frankston City Council
South Melbourne,51/39 Dorcas St,2,u,,SN,MICM,01-07-2017,3205,Southern Metropolitan,5943,1.9,Port Phillip City Council
South Melbourne,4 Law St,2,h,1030000,S,Cayzer,01-07-2017,3205,Southern Metropolitan,5943,1.9,Port Phillip City Council
South Morang,15 Ferncroft Dr,4,h,600000,PI,Millership,01-07-2017,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council
South Morang,1 Kakadu Vw,4,h,,PI,Morrison,01-07-2017,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council
South Morang,26 Kinkora Cr,4,h,,PI,Harcourts,01-07-2017,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council
South Morang,7/7 Old Plenty Rd,3,u,386000,S,Millership,01-07-2017,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council
South Yarra,1109/800 Chapel St,2,u,857000,S,LITTLE,01-07-2017,3141,Southern Metropolitan,14887,2.7,Melbourne City Council
South Yarra,304/15 Cromwell Rd,2,u,,PI,Marshall,01-07-2017,3141,Southern Metropolitan,14887,2.7,Melbourne City Council
South Yarra,51 Moore St,2,h,1160000,S,Jellis,01-07-2017,3141,Southern Metropolitan,14887,2.7,Melbourne City Council
South Yarra,1/1 Rockley Rd,1,u,,S,Marshall,01-07-2017,3141,Southern Metropolitan,14887,2.7,Melbourne City Council
South Yarra,23/350 Toorak Rd,3,u,1235000,S,Jellis,01-07-2017,3141,Southern Metropolitan,14887,2.7,Melbourne City Council
Springvale,24 Garnsworthy St,3,h,752500,S,iSell,01-07-2017,3171,South-Eastern Metropolitan,7412,20.8,Greater Dandenong City Council
Springvale,20 Keets Ct,3,h,,PI,Barry,01-07-2017,3171,South-Eastern Metropolitan,7412,20.8,Greater Dandenong City Council
Springvale South,4 Ruth Ct,3,h,,PI,iSell,01-07-2017,3172,South-Eastern Metropolitan,4054,22.2,Greater Dandenong City Council
St Albans,12 Altyre Ct,3,h,565000,S,Bells,01-07-2017,3021,Western Metropolitan,14042,14,Brimbank City Council
St Albans,3/14 Disraeli St,3,t,500000,SP,YPA,01-07-2017,3021,Western Metropolitan,14042,14,Brimbank City Council
St Albans,9 Gray Ct,3,h,610000,PI,YPA,01-07-2017,3021,Western Metropolitan,14042,14,Brimbank City Council
St Albans,6/31 Marsden Cr,2,t,445000,SP,YPA,01-07-2017,3021,Western Metropolitan,14042,14,Brimbank City Council
St Albans,23 Shirley St,3,h,,SN,Barry,01-07-2017,3021,Western Metropolitan,14042,14,Brimbank City Council
St Helena,10 Larool Av,4,h,801000,S,Darren,01-07-2017,3088,Eastern Metropolitan,915,16.1,Banyule City Council
St Kilda,14/12 Fitzroy St,1,u,350000,VB,Gary,01-07-2017,3182,Southern Metropolitan,13240,5,Port Phillip City Council
St Kilda,6/19 Herbert St,2,u,525000,S,hockingstuart,01-07-2017,3182,Southern Metropolitan,13240,5,Port Phillip City Council
St Kilda,15/2 Redan St,1,u,517500,SP,Woodards,01-07-2017,3182,Southern Metropolitan,13240,5,Port Phillip City Council
St Kilda,7/27 Robe St,2,u,365000,VB,Rounds,01-07-2017,3182,Southern Metropolitan,13240,5,Port Phillip City Council
St Kilda,403/64 Wellington St,2,u,460000,SP,LITTLE,01-07-2017,3182,Southern Metropolitan,13240,5,Port Phillip City Council
Strathmore,48 Bournian Av,4,h,1725000,PI,Brad,01-07-2017,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council
Strathmore,2/30 Bulla Rd,2,h,646000,S,Nelson,01-07-2017,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council
Strathmore,16A Lamart St,4,h,1190000,PI,Nelson,01-07-2017,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council
Strathmore Heights,2/1 De Havilland Av,2,h,635500,S,Considine,01-07-2017,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Sunbury,11 Bannermann St,4,h,580000,S,Raine,01-07-2017,3429,Western Metropolitan,14092,31.7,Hume City Council
Sunbury,38 Felton Av,3,h,413000,S,L,01-07-2017,3429,Western Metropolitan,14092,31.7,Hume City Council
Sunbury,60 Heysen Dr,3,h,420000,S,Raine,01-07-2017,3429,Western Metropolitan,14092,31.7,Hume City Council
Sunbury,18 Timins St,3,h,650000,S,YPA,01-07-2017,3429,Western Metropolitan,14092,31.7,Hume City Council
Sunshine,2/17 Anderson Rd,3,t,525000,S,McGrath,01-07-2017,3020,Western Metropolitan,3755,10.5,Brimbank City Council
Sunshine North,10 Edna St,3,h,780000,SA,FN,01-07-2017,3020,Western Metropolitan,4217,10.5,Brimbank City Council
Sunshine West,38 Collenso St,4,h,765000,S,Douglas,01-07-2017,3020,Western Metropolitan,6763,10.5,Brimbank City Council
Surrey Hills,112 Broughton Rd,4,h,1420000,PI,Fletchers,01-07-2017,3127,Southern Metropolitan,5457,10.2,Boroondara City Council
Surrey Hills,1093 Riversdale Rd,3,h,2100000,VB,Jellis,01-07-2017,3127,Southern Metropolitan,5457,10.2,Boroondara City Council
Surrey Hills,35A Russell St,3,h,1385000,S,Fletchers,01-07-2017,3127,Southern Metropolitan,5457,10.2,Boroondara City Council
Sydenham,3/42 Albert Rd,2,h,417000,S,Bells,01-07-2017,3037,Western Metropolitan,3640,18,Brimbank City Council
Sydenham,19 Boberrit Wyn,3,h,,PI,YPA,01-07-2017,3037,Western Metropolitan,3640,18,Brimbank City Council
Tarneit,30 Homestead Av,4,h,810000,VB,hockingstuart,01-07-2017,3029,Western Metropolitan,10160,18.4,Wyndham City Council
Tarneit,3 Rosebud St,3,h,451500,S,Reliance,01-07-2017,3029,Western Metropolitan,10160,18.4,Wyndham City Council
Tarneit,2 Skylark Ct,3,h,526000,S,Purplebricks,01-07-2017,3029,Western Metropolitan,10160,18.4,Wyndham City Council
Taylors Hill,3 Highlander Ct,4,h,605500,S,YPA,01-07-2017,3037,Western Metropolitan,4242,18,Melton City Council
Taylors Lakes,2a Mallacoota Ct,3,u,500000,PI,Brad,01-07-2017,3038,Western Metropolitan,5336,15.5,Brimbank City Council
Taylors Lakes,16 Shoppers La,3,h,427500,S,Ray,01-07-2017,3038,Western Metropolitan,5336,15.5,Brimbank City Council
Tecoma,1578 Burwood Hwy,3,h,,SN,Barry,01-07-2017,3160,Eastern Victoria,869,30.4,Yarra Ranges Shire Council
Tecoma,105 Terrys Av,4,h,855000,SP,Harcourts,01-07-2017,3160,Eastern Victoria,869,30.4,Yarra Ranges Shire Council
Templestowe,7 Watties Rd,2,h,,PI,Fletchers,01-07-2017,3106,Eastern Metropolitan,6202,15.5,Manningham City Council
Templestowe Lower,7 Buller Tce,3,h,,PI,Buckingham,01-07-2017,3107,Eastern Metropolitan,5420,12.4,Manningham City Council
Templestowe Lower,30 John St,5,h,1705000,PI,hockingstuart,01-07-2017,3107,Eastern Metropolitan,5420,12.4,Manningham City Council
The Basin,65 Government Rd,3,h,551200,SP,iTRAK,01-07-2017,3154,Eastern Metropolitan,1690,27,Knox City Council
Thomastown,95 Barry Rd,5,h,,SN,Love,01-07-2017,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thomastown,3/13 Edna St,2,u,,PI,Harcourts,01-07-2017,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thomastown,2/11 French St,3,u,542000,S,Ray,01-07-2017,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thomastown,8 Glenburn St,3,h,,PI,Harcourts,01-07-2017,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thomastown,17 Larch St,3,h,,PN,Emerson,01-07-2017,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thornbury,329 Gillies St,4,h,2070000,SP,Jellis,01-07-2017,3071,Northern Metropolitan,8870,7,Darebin City Council
Toorak,113 Grange Rd,6,h,2800000,S,Marshall,01-07-2017,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Truganina,2/7 Cabarita St,2,t,385000,SP,Reliance,01-07-2017,3029,Western Metropolitan,5811,18.4,Melton City Council
Tullamarine,4/48 Banksia Gr,3,h,500000,SP,Jason,01-07-2017,3043,Western Metropolitan,3296,12.9,Brimbank City Council
Tullamarine,73 Dawson St,3,h,,SN,Jason,01-07-2017,3043,Western Metropolitan,3296,12.9,Brimbank City Council
Tullamarine,3 Henderson Rd,4,h,821000,S,Jason,01-07-2017,3043,Western Metropolitan,3296,12.9,Brimbank City Council
Vermont,2/36 Halls Pde,3,t,917000,S,Noel,01-07-2017,3133,Eastern Metropolitan,4181,17.2,Maroondah City Council
Vermont South,6 Hempstead Av,4,h,,SP,Rounds,01-07-2017,3133,Eastern Metropolitan,4280,17.2,Whitehorse City Council
Viewbank,33 Eamon Dr,4,h,1115000,S,Miles,01-07-2017,3084,Eastern Metropolitan,2698,8.9,Banyule City Council
Viewbank,34 Toumlin Gr,3,h,905000,SP,Miles,01-07-2017,3084,Eastern Metropolitan,2698,8.9,Banyule City Council
Viewbank,1/9 Willa Av,3,u,,S,Nelson,01-07-2017,3084,Eastern Metropolitan,2698,8.9,Banyule City Council
Wantirna,7/3 Ashley St,2,h,450000,PI,Prof.,01-07-2017,3152,Eastern Metropolitan,5424,14.7,Knox City Council
Wantirna South,53 Somes St,3,h,1015000,SP,Ray,01-07-2017,3152,Eastern Metropolitan,7082,14.7,Knox City Council
Werribee,22 Bloom St,5,h,,PI,Barry,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee,13 Davern Ct,4,h,,SP,Sweeney,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee,22 Kramer St,3,h,510000,S,Ray,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee,15 Retreat Pl,4,h,645000,S,YPA,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee,1 Walwa Pl,3,h,427000,S,Greg,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee,16 Wattamolla Av,3,h,600000,S,YPA,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee South,656 Oconnors Rd,2,h,355000,S,Harcourts,01-07-2017,3030,Western Metropolitan,821,14.7,Wyndham City Council
West Footscray,15 Alberta St,3,h,845000,PI,Jas,01-07-2017,3012,Western Metropolitan,5058,6.4,Maribyrnong City Council
West Footscray,24 Hope St,2,h,876000,S,Biggin,01-07-2017,3012,Western Metropolitan,5058,6.4,Maribyrnong City Council
West Melbourne,23/1 Flagstaff La,3,t,,VB,Nelson,01-07-2017,3003,Northern Metropolitan,2230,3.1,Melbourne City Council
Westmeadows,26 Coghill St,3,h,578000,S,Jason,01-07-2017,3049,Northern Metropolitan,2474,16.5,Hume City Council
Williams Landing,89 Sayers Rd,4,h,510000,S,Ray,01-07-2017,3027,Western Metropolitan,1999,17.6,Wyndham City Council
Wollert,6 Burley St,2,u,390000,S,Ray,01-07-2017,3750,Northern Metropolitan,2940,25.5,Whittlesea City Council
Wollert,20 Vanin St,4,h,525000,S,Harcourts,01-07-2017,3750,Northern Metropolitan,2940,25.5,Whittlesea City Council
Wyndham Vale,5 Dakara Ct,3,h,480000,S,hockingstuart,01-07-2017,3024,Western Metropolitan,5262,27.2,Wyndham City Council
Wyndham Vale,11 Hoddle Lk,3,h,471100,S,YPA,01-07-2017,3024,Western Metropolitan,5262,27.2,Wyndham City Council
Yarraville,87 Ballard St,4,h,1000000,SP,Village,01-07-2017,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
Yarraville,72 Bishop St,3,h,1240000,VB,Jas,01-07-2017,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
Yarraville,67 Hawkhurst St,3,h,1115000,SP,Village,01-07-2017,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
Abbotsford,37 Hunter St,3,t,,PI,Biggin,01-09-2018,3067,Northern Metropolitan,4019,3,Yarra City Council
Airport West,47 Hillside Gr,3,h,750000,PI,Nelson,01-09-2018,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Airport West,5a South Rd,3,u,685000,PI,Brad,01-09-2018,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Albanvale,34 Delamare Dr,3,h,,PI,People,01-09-2018,3021,Western Metropolitan,1899,14,Brimbank City Council
Albert Park,200 Kerferd Rd,3,h,,PI,Paul,01-09-2018,3206,Southern Metropolitan,3280,3,Port Phillip City Council
Albion,1/129 Anderson Rd,2,u,,PI,Burnham,01-09-2018,3020,Western Metropolitan,2185,10.5,Brimbank City Council
Alphington,4/96 Yarralea St,2,u,520000,VB,Nelson,01-09-2018,3078,Northern Metropolitan,2211,5.7,Darebin City Council
Altona North,2/148 Chambers Rd,3,t,,PI,Bells,01-09-2018,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
Altona North,49A Rosala Av,3,t,,PI,FN,01-09-2018,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
Ascot Vale,76 The Parade,2,h,1015000,S,Nelson,01-09-2018,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ashburton,10a Laurel St,4,h,1450000,VB,Marshall,01-09-2018,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashburton,11A Meaden St,4,h,,SP,Marshall,01-09-2018,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashwood,40 Ashwood Dr,4,h,,SN,Ray,01-09-2018,3147,Southern Metropolitan,2894,10.2,Monash City Council
Ashwood,46 Electra Av,4,t,,S,hockingstuart,01-09-2018,3147,Southern Metropolitan,2894,10.2,Monash City Council
